ego_id,nos,arestas,clusters,densidade_global,media_densidade_intra_cluster,seguir_mesmo_cluster,seguir_outro_cluster,razao_seguimento,modularidade,embeddedness_medio,fracao_arestas_intra,media_permutacao,p_valor_aprox
734493,9,54,1,0.75,0.633333,0.633333,0.833333,0.76,-0.0782,0.5863,0.3519,0.4201,0.97
101903164,14,51,7,0.28022,0.363015,0.116279,0.0,inf,-0.0773,0.9872,0.9804,0.8528,0.06
101859065,23,208,8,0.411067,0.540745,0.208502,0.0,inf,0.037,0.9852,0.9904,0.9632,0.04
7424642,34,661,3,0.589127,0.691087,0.359788,0.0,inf,-0.0267,0.7496,0.6172,0.5529,0.07
742143,57,747,8,0.234023,0.367284,0.101314,0.0,inf,-0.002,0.9549,0.929,0.8283,0.0
428333,65,1242,11,0.298558,0.378852,0.12799,0.0,inf,-0.0152,0.9807,0.9565,0.9371,0.23
612473,76,1195,7,0.209649,0.413304,0.144983,0.0,inf,0.0462,0.9571,0.9456,0.7612,0.0
102765423,84,1070,6,0.153471,0.246848,0.125523,0.0,inf,0.0356,0.858,0.8411,0.7213,0.0033
613313,88,968,8,0.126437,0.219236,0.099879,0.0,inf,-0.0039,0.8363,0.8523,0.6135,0.0
103431502,91,473,9,0.057753,0.197306,0.065377,0.046341,1.4108,0.1269,0.701,0.6786,0.4349,0.0
10146102,95,951,7,0.106495,0.228104,0.093402,0.208251,0.4485,0.0146,0.8427,0.7771,0.5814,0.0
623623,106,521,10,0.04681,0.093434,0.042719,0.059864,0.7136,0.0261,0.7374,0.6948,0.512,0.0
356963,126,705,11,0.044762,0.175997,0.0896,0.036302,2.4682,0.009,0.4678,0.3177,0.1308,0.0
629863,159,1099,11,0.043747,0.111725,0.042677,0.047354,0.9012,0.0208,0.8011,0.7525,0.4996,0.0
100318079,220,8354,17,0.173391,0.32258,0.063333,0.0,inf,0.0256,0.8286,0.8996,0.7093,0.0
78813,231,2861,13,0.053849,0.110809,0.037138,0.0,inf,0.0177,0.8632,0.8626,0.6807,0.0
